id;assunto;descricao;ementa;url;numero;ano;situacao;criacao
1;non-volatile;mobile;../fake-data/blob/hipster.txt;"ftp://E17h=";invoice evolve;79568;CANCELADO;2021-08-07T14:02:52
2;Inteligente;monitoring Pará;../fake-data/blob/hipster.txt;"ftp://2p=S6y";SCSI SCSI solid;20488;SUBSTITUIDO;2021-08-07T15:44:22
3;esmeralda Algodão;navigating hacking;../fake-data/blob/hipster.txt;"http://_d";Loan Teclado Peixe;13932;CANCELADO;2021-08-07T21:13:07
4;Industrial Salgadinhos;circuit Applications Bedfordshire;../fake-data/blob/hipster.txt;"ftp://mi";payment Travessa Toalhas;89961;CANCELADO;2021-08-07T16:14:52
5;Auto;Metal enable Bicicleta;../fake-data/blob/hipster.txt;"file://P";digital synthesize Belarussian;65088;SUBSTITUIDO;2021-08-07T11:47:18
6;Algodão IB;e-services;../fake-data/blob/hipster.txt;"file://F";pixel Licenciado;48777;CANCELADO;2021-08-07T21:22:04
7;online;Mesa Granito Ameliorated;../fake-data/blob/hipster.txt;"file://Vg";Avenida;31745;CANCELADO;2021-08-06T22:58:16
8;Communications parse Mouse;migration redundant Industrial;../fake-data/blob/hipster.txt;"file://x,S";copy Borders;73963;CANCELADO;2021-08-07T22:22:21
9;target;Plástico;../fake-data/blob/hipster.txt;"ftp://msxWB";monitor;53292;VIGENTE;2021-08-07T18:29:23
10;Janeiro Operations;demand-driven Supervisor;../fake-data/blob/hipster.txt;"file://kp";Credit support;85522;VIGENTE;2021-08-07T14:27:18
