id;nome;inicio;fim;situacao
1;Grass-roots;2021-08-07T22:13:22;2021-08-07T22:42:39;FINALIZADO
2;Assimilated;2021-08-08T05:46:13;2021-08-08T14:42:48;FINALIZADO
3;Mouse Maranhão card;2021-08-08T14:41:21;2021-08-08T16:54:41;CANCELADO
4;Ceará Cadeira;2021-08-08T16:20:42;2021-08-07T22:05:44;INICIADO
5;circuit synthesizing;2021-08-08T10:18:51;2021-08-08T15:21:20;FINALIZADO
6;Travessa primary;2021-08-08T01:41:23;2021-08-07T22:51:22;CANCELADO
7;Teclado navigating deliver;2021-08-08T17:01:31;2021-08-08T06:04:05;PAUSADO
8;infrastructure Coordinator;2021-08-08T14:12:34;2021-08-08T11:44:46;FINALIZADO
9;foreground optimize Plástico;2021-08-08T12:08:38;2021-08-08T15:39:58;INICIADO
10;Malagasy;2021-08-08T01:08:49;2021-08-08T13:25:26;CANCELADO
